rowLabel	nucleusstarttime	nucleusendtime	nucleusdur	medianpitch	meanpitch	startpitch	endpitch	lopitch	hipitch	dynamic	intrasyllab	intrasyllabup	intersyllab	trajectory	internucleusdur	syllabledur	pausedur	loudness	endtime_syll	promL2R1D_sylldur	promL2R1D_meanpitch	hesitation
0.311	0.3105625	0.35056250000000005	0.040000000000000036	224.53848626050197	93.70797951347619	224	224	224	224.53848626050197	0	0.8783924647143169	0.8783924647143169	0	0.8783924647143169	0.3105625	0.11000000000000004	0.004999999999999949	0	0.35500000000000004	0	0	0
0.356	0.3555625	0.4555625000000001	0.10000000000000009	249.56016168302074	95.58745134058088	249	249	249	249.56016168302074	0	1.671837473606256	1.671837473606256	1.8290988335586884	1.671837473606256	0.004999999999999949	0.12	0.1349999999999999	0	0.47500000000000003	0	0	0
0.591	0.5905625	0.6305625	0.040000000000000036	282.47289475633426	97.69197664503703	282	282	282	282.47289475633426	0	-0.48182748015328797	0	2.144697459547954	0.48182748015328797	0.1349999999999999	0.15999999999999998	0.014999999999999902	0	0.635	0	0	0
0.646	0.6455624999999999	0.7555625	0.1100000000000001	308.5629807281758	98.77251290064454	269	323	269	323.3269837702089	1	3.223917429978906	3.223917429978906	-0.8232848764105893	3.223917429978906	0.014999999999999902	0.15000000000000002	0.12499999999999989	0	0.785	0	0	0
0.881	0.8805624999999999	0.9105624999999999	0.030000000000000027	331.0603182728529	100.32214413110665	331	331	331	331.0603182728529	0	-1.3190906982610222	0	0.4092021733427873	1.3190906982610222	0.12499999999999989	0.13	0.03500000000000003	0	0.915	0	0	0
0.946	0.9455625	1.0205624999999996	0.07499999999999962	258.8592778584121	96.23852198632157	258	258	258	258.8592778584121	0	-3.7587117291429952	0	-4.259112825595725	3.7587117291429952	0.03500000000000003	0.10999999999999988	0.16000000000000036	0	1.025	0	0	0
1.181	1.1805625	1.275562499999998	0.09499999999999798	276.63832379590684	97.2409996826065	276	276	276	276.63832379590684	0	1.4306976558734381	1.4306976558734381	1.1499960640210363	1.4306976558734381	0.16000000000000036	0.31000000000000005	0.15500000000000203	0	1.335	0	0	0
1.431	1.4305625	1.4505624999999995	0.019999999999999574	228.24171825672377	93.8480009213803	228	228	228	228.24171825672377	0	-0.7674666623254042	0	-3.3292622344735636	0.7674666623254042	0.15500000000000203	0.11999999999999988	0.0050000000000003375	0	1.4549999999999998	0	0	0
1.456	1.4555624999999999	1.540562499999998	0.08499999999999819	199.99428884170115	91.85859061524538	199	199	199	199.99428884170115	0	-1.566486610317531	0	-2.287244530846344	1.566486610317531	0.0050000000000003375	0.09000000000000008	0.03500000000000192	0	1.545	0	0	0
1.576	1.5755625	1.6555624999999983	0.0799999999999983	243.30947380799006	95.04404843721996	243	243	243	243.30947380799006	0	1.8960497833744259	1.8960497833744259	3.3940043264537287	1.8960497833744259	0.03500000000000192	0.11999999999999988	0.1700000000000017	0	1.6649999999999998	0	0	0
1.826	1.8255625	1.875562499999999	0.049999999999998934	210.31566762704506	92.31365220796727	210	210	210	210.31566762704506	0	-2.353882638555717	0	-2.522834006843161	2.353882638555717	0.1700000000000017	0.22999999999999998	0.09000000000000097	0	1.8949999999999998	0	0	0
1.966	1.9655624999999999	2.155562499999996	0.18999999999999595	182.71902492529108	91.46337912111827	179	245	179	245.3785782492	1	4.813698084920313	5.479573239792354	-2.7271008863541617	6.145448394664395	0.09000000000000097	0.36000000000000054	0.2650000000000041	0	2.2550000000000003	0	0	0
2.421	2.4205625	2.470562499999999	0.049999999999998934	218.2688563084472	92.94785725705788	218	218	218	218.2688563084472	0	-1.5372798751042565	0	-2.0268361436055695	1.5372798751042565	0.2650000000000041	0.21999999999999975	0.040000000000000924	0	2.475	0	0	0
2.511	2.5105625	2.5705624999999985	0.05999999999999872	220.5335999046256	93.41967762053037	220	220	220	220.5335999046256	0	0.08540913880436303	0.08540913880436303	0.17870620299046658	0.08540913880436303	0.040000000000000924	0.10000000000000009	0.0500000000000016	0	2.575	0	0	0
2.621	2.6205625	2.7005624999999984	0.0799999999999983	204.7689925351084	91.88617477746968	204	204	204	204.7689925351084	0	-2.2991184115233088	0	-1.2840144975720515	2.2991184115233088	0.0500000000000016	0.1299999999999999	0.00500000000000167	0	2.705	0	0	0
2.706	2.7055625	2.8205624999999976	0.11499999999999755	173.42431839366603	89.13556150572526	173	173	173	173.42431839366603	0	-2.2792327970114243	0	-2.8762926615390203	2.2792327970114243	0.00500000000000167	0.26000000000000023	0.9300000000000024	0	2.9650000000000003	0	0	0
3.751	3.7505625	3.8155624999999986	0.06499999999999861	216.71840359571917	92.99749995834317	216	216	216	216.71840359571917	0	1.0124909976700138	1.0124909976700138	3.858185484333541	1.0124909976700138	0.9300000000000024	0.16000000000000014	0.09500000000000153	0	3.8160625000000006	0	0	0
3.911	3.9105625	3.9955624999999984	0.08499999999999819	258.6179740434125	96.31276390278218	258	258	258	258.6179740434125	0	2.6107300873779438	2.6107300873779438	3.0600105004775884	2.6107300873779438	0.09500000000000153	0.2200000000000002	0.04050000000000242	0	4.036062500000001	0	0	0
4.036	4.036062500000001	4.151062499999998	0.11499999999999755	239.46051629977958	94.93319641386353	281	204	204	281.787599163117	-1	-5.454877060504575	0	1.4854269219011147	5.454877060504575	0.04050000000000242	0.17999999999999972	0.17950000000000177	0	4.2160625000000005	0	0	0
