rowLabel	nucleusstarttime	nucleusendtime	nucleusdur	medianpitch	meanpitch	startpitch	endpitch	lopitch	hipitch	dynamic	intrasyllab	intrasyllabup	intersyllab	trajectory	internucleusdur	syllabledur	pausedur	loudness	endtime_syll	promL2R1D_sylldur	promL2R1D_meanpitch	hesitation	dynamics	syllabic_interval	syllable_type	has_nucleus	pausebefore	pauseafter	nucleus_ctr	delivery	if	promauto	prommanu	eval	promF0rel	promDURrel	promMVT	promF0weight	promDURweight	promF0rel_th	promDURrel_th	promMVT_th	promPAUSE_th	promCUM	promGRAD	file	style	geo	npho	sylldurbynpho	bomu	eomu	mu_label	word	w_nbwords	w_lex	w_nbsyll	w_possylldeb	w_possyllfin	w_gra	w_pre	w_contexte	z_pre	z_post	pds	pause_label	pause_type	rgr_label	rgr_pos	seq_label	seq_pos	urc_label	urc_pos	syllabledurlog10
na	1.5755625	1.6555624999999983	0.0799999999999983	243.30947380799006	95.04404843721996	243	243	243	243.30947380799006	0	1.8960497833744259	1.8960497833744259	3.3940043264537287	1.8960497833744259	0.03500000000000192	0.11999999999999988	0	0	1.6649999999999998	0	0	0	0	11	2	1	0	0	0	?	?	1	1	1	2.6055511236588416	0.7894736842105256	0	5	5	1	0	0	0	0.536963190261434	6	prince	pri	ce	2	0.05999999999999994	0	0	?	apprivoise	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.079181246047624
pRi	1.8255625	1.875562499999999	0.049999999999998934	210.31566762704506	92.31365220796727	210	210	210	210.31566762704506	0	-2.353882638555717	0	-2.522834006843161	2.353882638555717	0.1700000000000017	0.22999999999999998	0	0	1.8949999999999998	0	0	0	0	12	2	1	0	0	0	?	?	0	0	1	-0.661036938417098	1.0952380952380942	0	5	5	0	0	0	0	-0.2688380012864004	4	prince	pri	ce	3	0.07666666666666666	0	0	?	apprivoise	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.3617278360175926
vwaz	1.9655624999999999	2.155562499999996	0.18999999999999595	182.71902492529108	91.46337912111827	179	245	179	245.3785782492	1	4.813698084920313	5.479573239792354	-2.7271008863541617	6.145448394664395	0.09000000000000097	0.36000000000000054	0	0	2.2550000000000003	0	0	0	5.479573239792354	13	2	1	0	0	0	?	?	1	1	1	-1.6500343523357799	1.764705882352945	5.479573239792354	5	5	0	0	1	0	1.4109445525269315	8	prince	pri	ce	4	0.09000000000000014	0	0	?	apprivoise	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.556302500767288
di	2.4205625	2.470562499999999	0.049999999999998934	218.2688563084472	92.94785725705788	218	218	218	218.2688563084472	0	-1.5372798751042565	0	-2.0268361436055695	1.5372798751042565	0.2650000000000041	0.21999999999999975	0	0	2.475	0	0	0	0	14	2	1	0	0	0	?	?	0	0	1	0.5319041188049738	0.9565217391304326	0	5	5	0	0	0	0	-0.0175044890851824	5	prince	pri	ce	2	0.10999999999999988	0	0	?	dit	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.3424226808222057
l@	2.5105625	2.5705624999999985	0.05999999999999872	220.5335999046256	93.41967762053037	220	220	220	220.5335999046256	0	0.08540913880436303	0.08540913880436303	0.17870620299046658	0.08540913880436303	0.040000000000000924	0.10000000000000009	0	0	2.575	0	0	0	0	15	2	1	0	0	0	?	?	0	0	1	1.1933889824956907	0.4716981132075477	0	5	5	0	0	0	0	-0.5256093322119451	4	prince	pri	ce	2	0.050000000000000044	0	0	?	le	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.0000000000000004
R@	2.6205625	2.7005624999999984	0.0799999999999983	204.7689925351084	91.88617477746968	204	204	204	204.7689925351084	0	-2.2991184115233088	0	-1.2840144975720515	2.2991184115233088	0.0500000000000016	0.1299999999999999	0	0	2.705	0	0	0	0	16	2	1	0	0	0	?	?	0	0	1	0.27450767555585287	0.6914893617021268	0	5	5	0	0	0	0	-0.5399285270678411	4	prince	pri	ce	2	0.06499999999999995	0	0	?	renard	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.1139433523068365
naR	2.7055625	2.8205624999999976	0.11499999999999755	173.42431839366603	89.13556150572526	173	173	173	173.42431839366603	0	-2.2792327970114243	0	-2.8762926615390203	2.2792327970114243	0.00500000000000167	0.26000000000000023	0	0	2.9650000000000003	0	0	0	0	17	2	1	0	0.6910625000000001	0	?	?	1	1	1	-3.2617808860979807	2.1666666666666696	0	3	3	0	1	0	0	0.4038802361659739	6	prince	pri	ce	3	0.08666666666666674	0	1	?	renard	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.414973347970818
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6910625000000001	0	0	3.6560625000000004	0	0	0	--undefined--	18	0	0	0	0	0	?	?	_	_	_	0	0	0	?	?	0	0	0	0	?	?	prince	pri	ce	1	0.6910625000000001	1	1	_	_	0	?	0	0	0	?	?	?	0	0	0	?	2	?	0	?	0	?	0	2.839517326936646
le	3.7505625	3.8155624999999986	0.06499999999999861	216.71840359571917	92.99749995834317	216	216	216	216.71840359571917	0	1.0124909976700138	1.0124909976700138	3.858185484333541	1.0124909976700138	0.9300000000000024	0.16000000000000014	0	0	3.8160625000000006	0	0	0	0	19	2	1	0.6910625000000001	0	0	?	?	0	0	1	-3.3152639444390104	0.7272727272727273	0	1	1	0	0	0	0	-1.9020115973377105	1	prince	pri	ce	2	0.08000000000000007	1	0	les hommes n'ont plus le temps de rien connaître	les	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.204119982655925
zOm	3.9105625	3.9955624999999984	0.08499999999999819	258.6179740434125	96.31276390278218	258	258	258	258.6179740434125	0	2.6107300873779438	2.6107300873779438	3.0600105004775884	2.6107300873779438	0.09500000000000153	0.2200000000000002	0	0	4.036062500000001	0	0	0	0	20	2	1	0	0	0	?	?	1	1	1	2.3474157166788387	1.2941176470588251	0	2	2	1	0	0	0	1.2359555483822673	8	prince	pri	ce	3	0.0733333333333334	0	0	?	hommes	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.3424226808222066
